CUSTOMER_ID,RECENCY,FREQUENCY,MONETARY,AVG_DAYS_BETWEEN_PURCHASE,MAX_DAYS_WITHOUT_PURCHASE,MIN_DAYS_WITHOUT_PURCHASE,AGE,GENDER_FEMALE,GENDER_MALE,MARITAL_STATUS_SINGLE,MARITAL_STATUS_DIVORCED_OR_SEPERATED,MARITAL_STATUS_MARRIED,CITY_DENVER,CITY_NEW YORK CITY,CITY_SAN MATEO,CITY_BOSTON,CHILDREN_COUNT_0,CHILDREN_COUNT_2,CHILDREN_COUNT_1,CHILDREN_COUNT_3,CHILDREN_COUNT_UNDISCLOSED,CHILDREN_COUNT_4
25582,0.9012988772084426,0.2508222489365185,0.1326096564489534,0.9323607175385149,0.7594867496825852,0.0,0.696969696969697,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
17331,0.4283956962882938,0.46607696003829147,0.5254867462195553,0.6329361625713545,0.6863747627048884,0.0,0.24242424242424243,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1443,0.6734833851731572,0.43532628702375253,0.5284243019003865,0.6329361625713545,0.6620621505827717,0.0,0.893939393939394,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28519,0.5735586684428766,0.481452296545561,0.4157060939187761,0.5896317750698188,0.5388362854901789,0.0,0.06060606060606061,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
6349,0.63692334345936,0.5122029695601,0.5862521837316074,0.5896317750698188,0.46094320415287093,0.16666666666666666,0.5757575757575758,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
405,0.49487985818562397,0.45070162353102194,0.44424234910399396,0.8262143039216596,0.8895337572601285,0.0,0.9696969696969697,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42727,0.6170922514239175,0.6505809981255255,0.5948130602871727,0.41625091374847045,0.46094320415287093,0.0,0.7272727272727273,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
19434,0.5494295209778538,0.2508222489365185,0.23936882290659184,0.94140576757556,1.0,0.16666666666666666,0.8787878787878789,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40306,0.20995484832603076,0.573704315589178,0.5258224668687931,0.6709871503453115,0.8757600578231592,0.0,0.9848484848484849,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
26564,0.6271510113676264,0.5890796520964475,0.4684142358491197,0.3381665323121439,0.3166768089885377,0.0,0.5909090909090909,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
34027,0.6271510113676264,0.5583289790819085,0.5254028160572458,0.5400283621297177,0.39615963661875675,0.0,0.3939393939393939,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40032,0.5849866579434598,0.696707007647334,0.6319101920279558,0.3381665323121439,0.5023226814955297,0.0,0.5909090909090909,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
