CUSTOMER_ID,MAX_ORDER_TS
132640,2022-10-28 13:42:25
135479,2022-09-18 19:44:22
133798,2022-10-30 21:33:15
38744,2022-10-29 22:57:51
62886,2022-10-24 12:47:46
118622,2022-10-18 13:00:04
184135,2022-11-01 11:18:47
173952,2022-10-27 15:33:21
45856,2022-10-23 20:35:51
132758,2022-10-18 19:11:11
91479,2022-10-30 09:13:10
145312,2022-11-01 12:57:55
173832,2022-10-25 12:42:17
27990,2022-10-30 09:00:11
110989,2022-10-13 18:44:01
41318,2022-10-09 20:10:44
105270,2022-09-02 15:40:05
93636,2022-10-13 13:30:30
144658,2022-10-07 18:54:14
119525,2022-10-31 18:35:50
191104,2022-11-01 17:24:50
47252,2022-11-01 19:50:58
137606,2022-10-31 21:37:23
182581,2022-10-17 19:21:52
38067,2022-10-23 11:45:16
166750,2022-10-28 12:29:47
40099,2022-10-10 20:09:25
106169,2022-10-25 21:29:09
83479,2022-10-23 18:56:50
94863,2022-10-27 17:10:09
197552,2022-10-22 11:51:41
52340,2022-10-30 20:38:17
151709,2022-10-30 11:07:40
189639,2022-10-31 21:19:00
37007,2022-10-31 15:35:22
34828,2022-10-03 18:47:13
29066,2022-10-13 09:00:32
100453,2022-10-30 11:12:57
70035,2022-11-01 21:13:10
27036,2022-10-10 18:58:05
134207,2022-10-16 09:16:35
68021,2022-10-20 13:14:52
162393,2022-10-24 16:17:33
85307,2022-10-25 20:42:40
171257,2022-10-01 17:02:35
171580,2022-10-31 11:13:38
80215,2022-10-16 17:55:08
95571,2022-10-31 17:17:17
41524,2022-10-13 18:12:30
118293,2022-10-19 21:08:17
92927,2022-10-15 21:09:54
61784,2022-10-30 15:48:21
150591,2022-10-29 20:18:14
181535,2022-10-10 09:08:48
93468,2022-09-10 11:07:34
112471,2022-10-26 13:26:39
120867,2022-10-29 11:52:53
19543,2022-10-09 12:38:42
98846,2022-10-16 12:50:31
126535,2022-10-26 11:01:45
95006,2022-11-01 13:15:51
116748,2022-08-08 19:50:21
148820,2022-10-24 14:14:21
38446,2022-10-26 10:57:56
148802,2022-09-30 11:00:25
139020,2022-10-28 22:03:33
152301,2022-10-11 20:36:53
62199,2022-10-12 14:14:07
191878,2022-10-13 08:47:01
98236,2022-10-30 15:28:35
66080,2022-10-10 08:48:21
70875,2022-10-28 19:47:09
191624,2022-10-27 11:02:45
196590,2022-10-31 20:04:56
91773,2022-09-30 20:08:42
126275,2022-10-18 15:43:55
170202,2022-10-27 13:11:22
29608,2022-10-31 20:10:39
70548,2022-10-26 19:54:12
37725,2022-10-28 09:25:24
125749,2022-11-01 13:14:31
120249,2022-10-30 21:35:18
84303,2022-10-30 13:49:39
28306,2022-10-22 18:09:17
64287,2022-10-22 14:48:00
152094,2022-10-06 12:52:38
163963,2022-09-23 08:07:00
27665,2022-10-30 18:18:37
70643,2022-10-10 13:37:35
99537,2022-10-26 09:09:11
94505,2022-10-31 11:24:05
121453,2022-10-29 21:42:39
117430,2022-10-25 20:09:51
130862,2022-10-31 12:22:05
8258,2022-10-02 21:15:32
47008,2022-10-28 13:03:02
163540,2022-10-27 20:35:21
102803,2022-10-27 19:09:37
136438,2022-10-30 18:02:56
34761,2022-10-22 12:21:49
58100,2022-10-31 13:04:09
127304,2022-10-29 08:45:54
57084,2022-10-17 20:27:19
65493,2022-10-20 19:44:54
189496,2022-10-14 20:06:24
71215,2022-11-01 21:08:01
178971,2022-10-01 10:52:43
165333,2022-10-22 22:02:32
93902,2022-10-24 18:55:10
72266,2022-10-23 21:56:43
67867,2022-10-19 17:25:21
37351,2022-10-31 13:32:50
45238,2022-10-25 20:34:51
170491,2022-10-14 19:09:25
56361,2022-10-21 16:34:22
121114,2022-10-19 20:24:55
100201,2022-10-20 19:37:50
158025,2022-10-14 19:37:36
144260,2022-10-06 21:49:31
191199,2022-10-14 11:15:58
134715,2022-10-22 20:39:04
163748,2022-10-30 17:50:30
146496,2022-10-28 10:08:18
123008,2022-09-24 18:28:22
30253,2022-10-01 13:30:23
24902,2022-08-08 08:09:36
32555,2022-09-30 19:02:28
174082,2022-10-28 13:09:37
177454,2022-10-31 19:36:54
146930,2022-10-30 12:12:58
57765,2022-09-06 10:48:28
139005,2022-10-29 13:13:55
93836,2022-10-23 18:05:28
182537,2022-10-27 19:36:19
149885,2022-10-26 21:51:16
147707,2022-06-24 19:35:50
79208,2022-10-03 21:18:44
139581,2022-10-27 18:29:25
154659,2022-10-27 20:40:16
181561,2022-10-29 20:41:43
131460,2022-10-17 17:41:19
190425,2022-10-31 15:03:15
49668,2022-10-31 16:32:49
67780,2022-10-19 12:56:15
110004,2022-10-22 15:24:52
120059,2022-10-17 11:41:30
181619,2022-10-24 08:27:07
166710,2022-10-31 18:59:42
171340,2022-10-19 21:14:14
137339,2022-10-10 10:44:35
171402,2022-10-26 22:15:23
129330,2022-10-16 17:36:23
104342,2022-10-27 19:16:29
138205,2022-10-30 11:21:44
49935,2022-10-08 09:33:30
43344,2022-10-03 19:07:51
136159,2022-10-22 17:13:37
44349,2022-10-24 09:06:19
192655,2022-10-19 09:45:35
145653,2022-10-31 12:12:50
188936,2022-10-28 13:19:48
54133,2022-10-31 15:37:19
75177,2022-10-28 22:30:29
63915,2022-10-20 12:18:15
48678,2022-10-20 19:47:07
188305,2022-10-27 09:02:00
63929,2022-10-29 11:28:49
99176,2022-10-23 09:50:57
121780,2022-10-27 18:45:35
115593,2022-10-26 21:15:54
117470,2022-11-01 08:38:03
142217,2022-10-24 18:58:02
44762,2022-10-31 17:30:55
130937,2022-11-01 21:23:30
148924,2022-10-14 19:16:55
113765,2022-08-16 08:39:54
