CUSTOMER_ID,CHURNED
22,0
42,0
59,1
65,1
106,1
118,0
166,1
176,1
189,0
204,0
212,0
217,0
219,1
222,1
224,1
226,1
233,0
261,1
262,0
308,1
332,1
343,0
350,1
354,0
360,0
405,1
416,1
419,1
454,1
466,0
479,1
485,0
499,0
502,1
514,1
528,0
540,1
590,1
632,1
649,0
700,0
712,1
756,0
777,0
794,1
816,1
821,1
828,0
848,0
868,1
884,1
891,1
911,0
939,1
940,0
948,0
950,1
962,1
1004,1
1042,0
1059,0
1062,1
1092,1
1096,1
1099,0
1114,1
1130,0
1139,1
1156,0
1168,0
1202,1
1211,1
1216,1
1217,0
1226,1
1289,0
1306,0
1313,1
1356,1
1369,0
1378,0
1403,1
1413,1
1415,0
1472,1
1482,0
1494,1
1497,1
1515,0
1523,1
1564,1
1590,0
1640,1
1659,1
1679,0
1704,1
1709,1
1711,1
1756,0
1778,0
1788,1
1804,0
1811,0
1819,1
1854,1
1856,0
1857,0
1874,1
1925,1
1929,1
1962,1
1973,1
1986,0
2021,1
2023,0
2118,0
2122,0
2139,1
2164,1
2180,0
2201,1
2260,0
2295,1
2337,1
2442,1
2548,0
2578,1
2603,0
2650,0
2652,1
2653,1
2655,0
2698,0
2739,1
2745,1
2746,0
2762,0
2771,1
2774,1
2809,0
2816,1
2843,1
2871,1
2878,0
2906,1
2939,1
2958,0
2975,1
2981,1
2995,0
3025,0
3040,1
3060,1
3074,0
3086,1
3091,1
3095,0
3114,0
3115,0
3123,1
3134,1
3136,1
3139,0
3154,0
3182,1
3187,1
3189,0
3208,1
3223,1
3243,1
3325,0
3328,1
3348,0
3375,0
3417,1
3519,0
3546,1
3574,1
3587,1
3590,0
3603,1
3608,1
3616,1
3620,0
3630,0
3644,0
3648,1
3651,1
3667,1
3696,0
3713,1
3730,1
3751,1
3809,1
3820,0
3821,0
3824,1
3857,0
3876,1
3890,1
3898,0
3899,1
3902,1
3921,1
3929,0
3955,0
3961,1
3963,1
4021,0
4037,1
4038,1
4080,1
4132,1
4140,1
4145,1
4152,1
4182,0
4184,1
4193,0
4221,1
4230,1
4264,0
4280,0
4294,0
4312,0
4330,1
4335,0
4388,1
4392,0
4422,1
4425,1
4435,1
4443,1
4481,1
4508,1
4520,0
4533,0
4554,1
4582,1
4600,1
4611,1
4618,1
4620,0
4628,0
4639,1
4642,1
4657,1
4670,1
4677,0
4735,0
4746,0
4773,1
4774,0
4791,1
4836,1
4842,1
4849,0
4851,1
4852,1
4878,1
4900,0
4946,1
4948,1
4951,1
4957,1
4983,1
5021,1
5026,1
5031,0
5047,0
5056,1
5062,1
5083,0
5093,1
5134,1
5143,1
5146,0
5202,0
5210,1
5251,1
5277,1
5294,1
5295,1
5304,1
5318,0
5326,1
5352,1
5358,1
5369,1
5375,1
5392,0
5394,0
5397,1
5409,1
5428,1
5439,0
5441,0
5452,1
5462,0
5464,1
5511,1
5513,1
5558,0
5566,1
5578,1
5658,1
5681,1
5688,1
5759,1
5776,0
5781,0
5818,1
5829,0
5838,0
5915,0
5927,1
5932,0
5933,1
5937,1
5938,1
5961,1
5974,1
5988,1
6003,0
6043,1
6106,1
6169,1
6171,0
6181,1
6207,0
6238,0
6258,1
6270,0
6274,1
6276,1
6481,0
6513,0
6520,1
6578,0
6624,0
6628,1
6638,0
6647,0
6655,1
6664,1
6665,1
6670,1
6679,0
6693,1
6700,1
6705,0
6711,1
6754,0
6757,1
6760,1
6766,0
6793,0
6811,0
6832,0
6837,1
6861,1
6919,0
6933,0
6953,0
6960,1
