TRUCK_ID,YEAR,MONTH,TOTAL_SALES_PER_MONTH
1,2022,9,32691.5
2,2022,9,79333.0
3,2022,9,66902.5
4,2022,9,69012.0
5,2022,9,107233.75
6,2022,9,37005.0
7,2022,9,57547.0
8,2022,9,71048.0
9,2022,9,67531.0
10,2022,9,56032.0
11,2022,9,76067.0
12,2022,9,86562.0
13,2022,9,60478.0
14,2022,9,99218.0
15,2022,9,68279.0
16,2022,9,239066.0
17,2022,9,560572.0
18,2022,9,483106.0
19,2022,9,483574.0
20,2022,9,750919.0
21,2022,9,265413.0
22,2022,9,406610.0
23,2022,9,542692.0
24,2022,9,484727.0
25,2022,9,395693.0
26,2022,9,540449.0
27,2022,9,612379.0
28,2022,9,436578.0
29,2022,9,695880.0
30,2022,9,490432.0
31,2022,9,251575.0
32,2022,9,568301.0
33,2022,9,525664.5
34,2022,9,492636.0
35,2022,9,782594.0
36,2022,9,269426.0
37,2022,9,447829.0
38,2022,9,546942.0
39,2022,9,502170.0
40,2022,9,420959.0
41,2022,9,564527.0
42,2022,9,645475.0
43,2022,9,461173.0
44,2022,9,756295.0
45,2022,9,503002.0
46,2022,9,222936.5
47,2022,9,505986.0
48,2022,9,461925.5
49,2022,9,445305.0
50,2022,9,688010.5
51,2022,9,244838.0
52,2022,9,387601.0
53,2022,9,474222.0
54,2022,9,449351.0
55,2022,9,359979.0
56,2022,9,515198.0
57,2022,9,564715.0
58,2022,9,424139.0
59,2022,9,669462.0
60,2022,9,461151.0
61,2022,9,873307.0
62,2022,9,2014088.0
63,2022,9,1786750.5
64,2022,9,1732658.0
65,2022,9,2704747.5
66,2022,9,931755.0
67,2022,9,1496093.0
68,2022,9,1892501.0
69,2022,9,1746011.0
70,2022,9,1448523.0
71,2022,9,1980485.0
72,2022,9,2263683.0
73,2022,9,1580558.0
74,2022,9,2602138.0
75,2022,9,1759424.0
