YEAR,TRUCK_ID,TOTAL_SALES_PER_YEAR
2019,1,545419.5000
2019,6,213249.0000
2019,17,4540667.0000
2019,21,2114105.0000
2019,33,1436266.5000
2019,81,9012208.0000
2019,97,4307481.0000
2019,100,3189152.0000
2019,113,13513295.0000
2019,145,2474361.0000
2019,193,12210370.0000
2019,224,31674231.0000
2019,257,47881863.0000
2019,303,10941307.0000
2019,363,3398751.5000
2019,392,21313207.0000
2019,413,6725129.0000
2019,436,7579207.5000
2019,448,9278237.0000
2020,1,340202.0000
2020,2,398589.0000
2020,6,366321.0000
2020,9,341226.0000
2020,11,773422.0000
2020,14,255431.0000
2020,17,5375269.0000
2020,18,4846710.0000
2020,21,2534957.0000
2020,23,5110518.0000
2020,27,3125578.0000
2020,29,1861145.0000
2020,31,2377242.0000
2020,33,4855839.5000
2020,39,2468405.0000
2020,42,1482857.0000
2020,45,3635430.0000
2020,47,2584115.0000
2020,48,2301789.0000
2020,50,3509011.7500
2020,51,2439276.0000
2020,55,3704797.0000
2020,60,1098657.0000
2020,67,18047253.0000
2020,71,6025663.0000
2020,73,19196331.0000
2020,74,7833581.0000
2020,79,15575404.0000
2020,81,8444055.0000
2020,87,20246838.0000
2020,88,3611831.0000
2020,89,23292070.0000
2020,92,1192426.0000
2020,94,4301389.0000
2020,97,3670408.0000
2020,100,3543489.0000
2020,101,4907953.0000
2020,102,1324424.0000
2020,104,6405148.0000
2020,109,11098942.0000
2020,113,12071750.0000
2020,116,12770880.0000
2020,122,6018357.0000
2020,125,8121400.5000
2020,128,11513682.0000
2020,131,24076126.0000
2020,137,1953513.0000
2020,140,2621248.5000
2020,145,2852475.0000
2020,148,1565336.0000
2020,150,2581189.0000
2020,154,3307024.0000
2020,161,3806776.0000
2020,167,646380.0000
2020,171,881482.0000
2020,174,554881.0000
2020,177,2849491.0000
2020,179,827401.0000
2020,184,2994806.0000
2020,187,10292155.0000
2020,189,2987700.0000
2020,191,13692178.0000
2020,193,10894626.0000
2020,195,6058854.0000
2020,198,2668679.0000
2020,200,7853465.5000
2020,205,2175503.0000
2020,208,2401264.0000
2020,213,21770440.5000
2020,215,24625628.7500
2020,218,11547346.0000
2020,222,13712490.0000
2020,224,31716032.0000
2020,228,10952495.0000
2020,231,11538467.0000
2020,233,11693279.0000
2020,237,6923431.0000
2020,239,31797543.0000
2020,242,18289553.0000
2020,246,11532983.0000
2020,250,17593730.0000
2020,252,6907479.0000
2020,256,5363171.0000
2020,257,24176979.0000
2020,259,15877797.0000
2020,262,18106992.0000
2020,264,21166115.0000
2020,267,27337206.0000
2020,271,2481007.0000
2020,275,30732193.7500
2020,279,19984418.0000
2020,283,4559392.0000
2020,285,19946037.0000
2020,291,2693559.0000
2020,296,5651827.0000
2020,297,12582005.0000
2020,300,4924844.0000
2020,303,21716787.5000
2020,304,21263587.0000
2020,305,24734634.7500
2020,309,16001647.0000
2020,314,23869255.0000
2020,318,5271529.5000
2020,322,8854130.0000
2020,325,4260491.0000
2020,327,26484560.0000
2020,330,5160385.0000
2020,333,2432006.5000
2020,335,14574419.7500
2020,339,2370475.0000
2020,341,5526986.0000
2020,345,2368502.0000
2020,347,20844671.0000
2020,350,21032249.2500
2020,353,9942071.0000
2020,355,3776068.0000
2020,357,23477112.0000
2020,358,16601179.0000
2020,359,6677092.0000
2020,361,4504379.0000
2020,363,12019850.5000
2020,365,18070659.0000
2020,368,3208026.0000
2020,372,7592571.0000
2020,376,2444051.5000
2020,377,1783871.0000
2020,380,7566192.5000
2020,385,1294913.0000
2020,387,4183676.0000
2020,389,2356769.0000
2020,392,20195875.0000
2020,394,4402589.0000
2020,396,9493086.0000
2020,399,8945418.0000
2020,401,5100980.0000
2020,403,8198282.0000
2020,406,4117301.0000
2020,408,5612483.0000
2020,410,12664015.7500
2020,413,11861833.0000
2020,415,6837040.0000
2020,417,3547222.0000
2020,419,16355727.0000
2020,424,1837085.0000
2020,427,6290636.0000
2020,430,1530642.0000
2020,432,2337218.0000
2020,434,5550724.0000
2020,436,9856978.0000
2020,439,9802815.0000
2020,443,5351838.0000
2020,445,4111266.0000
2020,447,6372214.0000
2020,448,17985378.0000
2020,450,19587992.0000
2021,1,398669.0000
2021,2,910084.0000
2021,3,198405.5000
2021,4,800369.0000
2021,6,434571.0000
2021,7,683580.0000
2021,9,797247.0000
2021,10,164502.0000
2021,11,916351.0000
2021,12,777048.0000
2021,13,370238.0000
2021,14,1194168.0000
2021,15,793681.0000
2021,17,6493733.0000
2021,18,5792961.0000
2021,19,2884216.0000
2021,20,4498616.0000
2021,21,3044123.0000
2021,23,6100520.0000
2021,24,2878525.0000
2021,25,2407482.0000
2021,26,4916273.0000
2021,27,7201786.0000
2021,28,5190666.0000
2021,29,8396347.0000
2021,30,4240932.0000
2021,31,2830662.5000
2021,32,3232788.0000
2021,33,5752578.5000
2021,34,1312884.0000
2021,36,2306190.0000
2021,37,2407928.0000
2021,39,5616902.0000
2021,40,4642431.0000
2021,41,4908043.0000
2021,42,7227280.0000
2021,43,2539686.0000
2021,44,1961741.0000
2021,45,5591266.0000
2021,46,2603769.0000
2021,47,5914674.0000
2021,48,5313648.0000
2021,49,3924719.0000
2021,50,7975890.0000
2021,51,2807809.0000
2021,52,2265733.0000
2021,53,1444452.0000
2021,55,4276336.0000
2021,57,3330635.0000
2021,60,5168470.0000
2021,61,10596249.5000
2021,62,12260495.0000
2021,64,21164677.0000
2021,67,18147467.0000
2021,68,17343491.0000
2021,69,5375670.0000
2021,70,17524784.0000
2021,71,24125724.0000
2021,73,19306893.0000
2021,74,31450411.0000
2021,75,15938602.0000
2021,76,6583088.0000
2021,77,4982719.0000
2021,79,17377852.0000
2021,81,9345811.0000
2021,83,4747724.0000
2021,84,4334834.0000
2021,85,14278564.0000
2021,87,22217528.0000
2021,88,15797308.0000
2021,89,25703853.0000
2021,90,17295500.0000
2021,91,1970647.5000
2021,92,5918833.0000
2021,94,5117022.0000
2021,97,4405965.0000
2021,98,1394962.0000
2021,99,5170719.0000
2021,100,4259040.0000
2021,101,5865980.0000
2021,102,6595069.0000
2021,103,3611291.0000
2021,104,7649527.0000
2021,105,5145286.0000
2021,109,13028381.0000
2021,110,15055978.5000
2021,111,1759774.0000
2021,113,14066064.0000
2021,115,2679983.0000
2021,116,14768161.0000
2021,117,12673552.0000
2021,119,4819391.0000
2021,122,24192087.0000
2021,123,5478579.5000
2021,125,32581565.2500
2021,127,13635378.0000
2021,128,22997437.0000
2021,129,5331399.0000
2021,131,24165873.0000
2021,133,4878758.0000
2021,135,21190361.0000
2021,137,4697912.0000
2021,138,4207800.0000
2021,139,3086401.0000
2021,140,6328222.7500
2021,143,2254499.0000
2021,144,4100159.0000
2021,145,3423292.0000
2021,148,3744943.0000
2021,150,4094686.0000
2021,152,17421546.0000
2021,154,15228336.0000
2021,156,8239478.0000
2021,157,3293799.0000
2021,159,11499203.0000
2021,161,17354846.0000
2021,162,9972459.0000
2021,164,17073158.0000
2021,166,337705.0000
2021,167,2969977.0000
2021,170,1020806.5000
2021,171,1398967.0000
2021,172,1122769.0000
2021,173,2835891.0000
2021,174,2592612.0000
2021,176,764985.0000
2021,177,3346334.0000
2021,179,3860370.0000
2021,180,2598066.0000
2021,182,15302311.0000
2021,184,13422153.0000
2021,185,10515624.2500
2021,187,11462359.0000
2021,188,11096852.0000
2021,189,13435167.0000
2021,190,5697905.0000
2021,191,15389964.0000
2021,193,12276128.0000
2021,194,5077753.0000
2021,195,13393283.0000
2021,198,6189039.5000
2021,199,1557967.0000
2021,200,9246686.2500
2021,201,839070.0000
2021,202,3956099.0000
2021,203,6549023.0000
2021,205,4980069.0000
2021,207,7728015.0000
2021,208,5495325.0000
2021,209,2287737.0000
2021,210,5996906.0000
2021,213,21689798.0000
2021,215,32640590.5000
2021,216,11467377.0000
2021,218,23089544.0000
2021,221,24245212.0000
2021,222,27313164.0000
2021,224,31619871.0000
2021,227,24350937.0000
2021,228,21819005.5000
2021,230,8310580.0000
2021,231,11568914.0000
2021,232,4611797.0000
2021,233,23170814.0000
2021,234,21431277.0000
2021,236,6166244.0000
2021,237,27480803.0000
2021,238,9840256.0000
2021,239,31686237.0000
